codigo_escola;ano;trat_internet_alunos;trat_lab_info;trat_dispositivo_aluno;trat_informatizacao_basica;trat_informatizacao_pedagogica;trat_informatizacao_completa;ano_primeiro_trat_real;g_info;ever_treated_info;post_info;tempo_relativo_info;reverte_tratamento_info;always_treated_info;left_censored_info;grupo_informatizacao
35000012;2015;0;1;1;1;0;0;2020;2021;1;0;-6;0;0;0;se_tornou_informatizada
35000012;2016;0;1;1;1;0;0;2020;2021;1;0;-5;0;0;0;se_tornou_informatizada
35000012;2017;0;1;1;1;0;0;2020;2021;1;0;-4;0;0;0;se_tornou_informatizada
35000012;2018;0;1;1;1;0;0;2020;2021;1;0;-3;0;0;0;se_tornou_informatizada
35000012;2019;0;1;1;1;0;0;2020;2021;1;0;-2;0;0;0;se_tornou_informatizada
35000012;2020;1;1;1;1;1;1;2020;2021;1;0;-1;0;0;0;se_tornou_informatizada
35000012;2021;1;1;1;1;1;1;2020;2021;1;1;0;0;0;0;se_tornou_informatizada
35000012;2022;1;1;1;1;1;1;2020;2021;1;1;1;0;0;0;se_tornou_informatizada
35000012;2023;1;1;1;1;1;1;2020;2021;1;1;2;0;0;0;se_tornou_informatizada
35000012;2024;1;1;1;1;1;1;2020;2021;1;1;3;0;0;0;se_tornou_informatizada
35000024;2015;0;1;1;1;0;0;2020;2021;1;0;-6;0;0;0;se_tornou_informatizada
35000024;2016;0;1;1;1;0;0;2020;2021;1;0;-5;0;0;0;se_tornou_informatizada
35000024;2017;0;1;1;1;0;0;2020;2021;1;0;-4;0;0;0;se_tornou_informatizada
35000024;2018;0;1;1;1;0;0;2020;2021;1;0;-3;0;0;0;se_tornou_informatizada
35000024;2019;0;1;1;1;0;0;2020;2021;1;0;-2;0;0;0;se_tornou_informatizada
35000024;2020;1;1;1;1;1;1;2020;2021;1;0;-1;0;0;0;se_tornou_informatizada
35000024;2021;1;1;1;1;1;1;2020;2021;1;1;0;0;0;0;se_tornou_informatizada
35000024;2022;1;1;1;1;1;1;2020;2021;1;1;1;0;0;0;se_tornou_informatizada
35000024;2023;1;1;1;1;1;1;2020;2021;1;1;2;0;0;0;se_tornou_informatizada
35000024;2024;1;1;1;1;1;1;2020;2021;1;1;3;0;0;0;se_tornou_informatizada
35000036;2015;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000036;2016;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000036;2017;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000036;2018;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000036;2019;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000036;2020;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000036;2021;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000036;2022;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000036;2023;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000036;2024;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000048;2015;0;1;1;1;0;0;2019;2019;1;0;-4;0;0;0;se_tornou_informatizada
35000048;2016;0;1;1;1;0;0;2019;2019;1;0;-3;0;0;0;se_tornou_informatizada
35000048;2017;0;1;1;1;0;0;2019;2019;1;0;-2;0;0;0;se_tornou_informatizada
35000048;2018;0;1;1;1;0;0;2019;2019;1;0;-1;0;0;0;se_tornou_informatizada
35000048;2019;1;1;1;1;1;1;2019;2019;1;1;0;0;0;0;se_tornou_informatizada
35000048;2020;1;1;1;1;1;1;2019;2019;1;1;1;0;0;0;se_tornou_informatizada
35000048;2021;1;1;1;1;1;1;2019;2019;1;1;2;0;0;0;se_tornou_informatizada
35000048;2022;1;1;1;1;1;1;2019;2019;1;1;3;0;0;0;se_tornou_informatizada
35000048;2023;1;1;1;1;1;1;2019;2019;1;1;4;0;0;0;se_tornou_informatizada
35000048;2024;1;1;1;1;1;1;2019;2019;1;1;5;0;0;0;se_tornou_informatizada
35000059;2015;0;1;1;1;0;0;2022;2023;1;0;-8;0;0;0;se_tornou_informatizada
35000059;2016;0;1;;1;0;0;2022;2023;1;0;-7;0;0;0;se_tornou_informatizada
35000059;2017;0;1;1;1;0;0;2022;2023;1;0;-6;0;0;0;se_tornou_informatizada
35000059;2018;0;1;1;1;0;0;2022;2023;1;0;-5;0;0;0;se_tornou_informatizada
35000059;2019;0;1;1;1;0;0;2022;2023;1;0;-4;0;0;0;se_tornou_informatizada
35000059;2020;0;1;1;1;0;0;2022;2023;1;0;-3;0;0;0;se_tornou_informatizada
35000059;2021;0;1;1;1;0;0;2022;2023;1;0;-2;0;0;0;se_tornou_informatizada
35000059;2022;1;1;1;1;1;1;2022;2023;1;0;-1;0;0;0;se_tornou_informatizada
35000059;2023;1;1;1;1;1;1;2022;2023;1;1;0;0;0;0;se_tornou_informatizada
35000059;2024;1;1;1;1;1;1;2022;2023;1;1;1;0;0;0;se_tornou_informatizada
35000061;2015;0;1;1;1;0;0;2019;2019;1;0;-4;0;0;0;se_tornou_informatizada
35000061;2016;0;1;1;1;0;0;2019;2019;1;0;-3;0;0;0;se_tornou_informatizada
35000061;2017;0;1;1;1;0;0;2019;2019;1;0;-2;0;0;0;se_tornou_informatizada
35000061;2018;0;1;1;1;0;0;2019;2019;1;0;-1;0;0;0;se_tornou_informatizada
35000061;2019;1;1;1;1;1;1;2019;2019;1;1;0;0;0;0;se_tornou_informatizada
35000061;2020;1;1;1;1;1;1;2019;2019;1;1;1;0;0;0;se_tornou_informatizada
35000061;2021;1;1;1;1;1;1;2019;2019;1;1;2;0;0;0;se_tornou_informatizada
35000061;2022;1;1;1;1;1;1;2019;2019;1;1;3;0;0;0;se_tornou_informatizada
35000061;2023;1;1;1;1;1;1;2019;2019;1;1;4;0;0;0;se_tornou_informatizada
35000061;2024;1;1;1;1;1;1;2019;2019;1;1;5;0;0;0;se_tornou_informatizada
35000073;2015;0;0;1;0;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000073;2016;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000073;2017;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000073;2018;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000073;2019;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000073;2020;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000073;2021;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000073;2022;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000073;2023;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000073;2024;0;1;1;1;0;0;;0;0;0;;0;0;0;nunca_informatizada
35000085;2015;0;0;1;0;0;0;2019;2019;1;0;-4;0;0;0;se_tornou_informatizada
35000085;2016;0;0;1;0;0;0;2019;2019;1;0;-3;0;0;0;se_tornou_informatizada
35000085;2017;0;0;1;0;0;0;2019;2019;1;0;-2;0;0;0;se_tornou_informatizada
35000085;2018;0;0;1;0;0;0;2019;2019;1;0;-1;0;0;0;se_tornou_informatizada
35000085;2019;1;0;1;1;1;0;2019;2019;1;1;0;0;0;0;se_tornou_informatizada
35000085;2020;1;0;1;1;1;0;2019;2019;1;1;1;0;0;0;se_tornou_informatizada
35000085;2021;1;0;1;1;1;0;2019;2019;1;1;2;0;0;0;se_tornou_informatizada
35000085;2022;1;0;1;1;1;0;2019;2019;1;1;3;0;0;0;se_tornou_informatizada
35000085;2023;1;0;1;1;1;0;2019;2019;1;1;4;0;0;0;se_tornou_informatizada
35000085;2024;1;0;1;1;1;0;2019;2019;1;1;5;0;0;0;se_tornou_informatizada
35000097;2015;0;1;1;1;0;0;2020;2021;1;0;-6;0;0;0;se_tornou_informatizada
35000097;2016;0;1;1;1;0;0;2020;2021;1;0;-5;0;0;0;se_tornou_informatizada
35000097;2017;0;1;1;1;0;0;2020;2021;1;0;-4;0;0;0;se_tornou_informatizada
35000097;2018;0;1;1;1;0;0;2020;2021;1;0;-3;0;0;0;se_tornou_informatizada
35000097;2019;0;1;1;1;0;0;2020;2021;1;0;-2;0;0;0;se_tornou_informatizada
35000097;2020;1;1;1;1;1;1;2020;2021;1;0;-1;0;0;0;se_tornou_informatizada
35000097;2021;1;1;1;1;1;1;2020;2021;1;1;0;0;0;0;se_tornou_informatizada
35000097;2022;1;1;1;1;1;1;2020;2021;1;1;1;0;0;0;se_tornou_informatizada
35000097;2023;1;1;1;1;1;1;2020;2021;1;1;2;0;0;0;se_tornou_informatizada
35000097;2024;1;1;1;1;1;1;2020;2021;1;1;3;0;0;0;se_tornou_informatizada
35000103;2015;0;1;1;1;0;0;2020;2021;1;0;-6;0;0;0;se_tornou_informatizada
35000103;2016;0;1;1;1;0;0;2020;2021;1;0;-5;0;0;0;se_tornou_informatizada
35000103;2017;0;1;1;1;0;0;2020;2021;1;0;-4;0;0;0;se_tornou_informatizada
35000103;2018;0;1;1;1;0;0;2020;2021;1;0;-3;0;0;0;se_tornou_informatizada
35000103;2019;0;1;1;1;0;0;2020;2021;1;0;-2;0;0;0;se_tornou_informatizada
35000103;2020;1;1;1;1;1;1;2020;2021;1;0;-1;0;0;0;se_tornou_informatizada
35000103;2021;1;1;1;1;1;1;2020;2021;1;1;0;0;0;0;se_tornou_informatizada
35000103;2022;1;0;1;1;1;0;2020;2021;1;1;1;0;0;0;se_tornou_informatizada
35000103;2023;1;0;1;1;1;0;2020;2021;1;1;2;0;0;0;se_tornou_informatizada
35000103;2024;1;0;1;1;1;0;2020;2021;1;1;3;0;0;0;se_tornou_informatizada
35000115;2015;0;1;1;1;0;0;2021;2021;1;0;-6;0;0;0;se_tornou_informatizada
35000115;2016;0;1;1;1;0;0;2021;2021;1;0;-5;0;0;0;se_tornou_informatizada
35000115;2017;0;0;;0;0;0;2021;2021;1;0;-4;0;0;0;se_tornou_informatizada
35000115;2018;0;1;1;1;0;0;2021;2021;1;0;-3;0;0;0;se_tornou_informatizada
35000115;2019;0;1;1;1;0;0;2021;2021;1;0;-2;0;0;0;se_tornou_informatizada
35000115;2020;0;1;1;1;0;0;2021;2021;1;0;-1;0;0;0;se_tornou_informatizada
35000115;2021;1;1;1;1;1;1;2021;2021;1;1;0;0;0;0;se_tornou_informatizada
35000115;2022;1;0;1;1;1;0;2021;2021;1;1;1;0;0;0;se_tornou_informatizada
35000115;2023;1;0;1;1;1;0;2021;2021;1;1;2;0;0;0;se_tornou_informatizada
35000115;2024;1;0;1;1;1;0;2021;2021;1;1;3;0;0;0;se_tornou_informatizada
35000127;2015;0;1;1;1;0;0;2019;2019;1;0;-4;1;0;0;se_tornou_informatizada_com_reversao
35000127;2016;0;1;1;1;0;0;2019;2019;1;0;-3;1;0;0;se_tornou_informatizada_com_reversao
35000127;2017;0;1;1;1;0;0;2019;2019;1;0;-2;1;0;0;se_tornou_informatizada_com_reversao
35000127;2018;0;1;1;1;0;0;2019;2019;1;0;-1;1;0;0;se_tornou_informatizada_com_reversao
35000127;2019;1;1;1;1;1;1;2019;2019;1;1;0;1;0;0;se_tornou_informatizada_com_reversao
35000127;2020;1;1;1;1;1;1;2019;2019;1;1;1;1;0;0;se_tornou_informatizada_com_reversao
