codigo_escola;codigo_escola_mec;nome_escola;distrito;bairro;municipio;diretoria;localizacao;cep;latitude;longitude;nivel_socioeconomico;tratamento_cmsp;tratamento_cmsp_periodo;tratamento_cmsp_intensidade;ano_primeiro_cmsp_real;g_cmsp;grupo_cmsp
10005;35010005;JOAO BAPTISTA DE OLIVEIRA;ITAPECERICA DA SERRA;CENTRO;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;Urbana;6850050;-23.71507072;-46.85181046;5,5;1;2020-05-27;156488150;2020;2021;tratada_cmsp
100110;35100110;ALDEIA KOPENOTI;NOGUEIRA;AREA RURAL DE NOGUEIRA;AVAI;BAURU;Rural;16689899;-23.55051994;-46.63330841;;1;2021-03-04;25895;2021;2021;tratada_cmsp
100146;35100146;ALDEIA NIMUENDAJU;AVAI;ALDEIA NIMUENDAJU;AVAI;BAURU;Rural;16680000;-22.29116058;-49.37730026;;1;2020-05-28;850138;2020;2021;tratada_cmsp
10017;35010017;MARIANINHA QUEIROZ PROFESSORA;SAO LOURENCO DA SERRA;CENTRO;SAO LOURENCO DA SERRA;ITAPECERICA DA SERRA;Urbana;6890000;-23.85280037;-46.94369888;5,07;1;2020-05-27;252250912;2020;2021;tratada_cmsp
100195;35100195;ALDEIA EKERUA;AVAI;ALDEIA EKERUA;AVAI;BAURU;Rural;16680000;-22.2747097;-49.37297058;;1;2021-09-26;39010;2021;2021;tratada_cmsp
100201;35100201;ALDEIA RENASCER;UBATUBA;CORCOVADO;UBATUBA;CARAGUATATUBA;Urbana;11682520;-23.47613907;-45.19160843;;1;2021-02-01;293694;2021;2021;tratada_cmsp
100225;35100225;ALDEIA PARAISO;IGUAPE;ITINGA GRANDE;IGUAPE;MIRACATU;Rural;11920000;-24.50823975;-47.5275383;;0;;0;;0;nunca_tratada_cmsp
100249;35100249;ALDEIA CAPOEIRAO;ITARIRI;KM 93;ITARIRI;MIRACATU;Rural;11760000;-24.30809021;-47.11671829;;0;;0;;0;nunca_tratada_cmsp
100262;35100262;ALDEIA RIO DO AZEITE;ITARIRI;RIO DO AZEITE;ITARIRI;MIRACATU;Rural;11760000;-24.33348083;-47.17166138;;0;;0;;0;nunca_tratada_cmsp
10029;35010029;ANGENOR DE OLIVEIRA POETA;ITAPECERICA DA SERRA;DA LAGOA;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;Urbana;6860400;-23.71953964;-46.82151031;5,14;1;2020-05-27;52551172;2020;2021;tratada_cmsp
10030;35010030;ODETTE DE SOUZA CARVALHO MADRE;EMBU DAS ARTES;CHACARAS ANA LUCIA;EMBU DAS ARTES;TABOAO DA SERRA;Urbana;6840000;-23.65012932;-46.85887909;5,61;1;2020-05-27;276363494;2020;2021;tratada_cmsp
100341;35100341;ALDEIA TEREGUA;AVAI;LARANJEIRAS;AVAI;BAURU;Rural;16680000;-22.16006088;-49.38312149;;0;;0;;0;nunca_tratada_cmsp
100389;35100389;ALDEIA SANTA CRUZ;CANANEIA;ILHA DO CARDOSO;CANANEIA;REGISTRO;Rural;11990000;-25.1335907;-47.9416008;;0;;0;;0;nunca_tratada_cmsp
1004;35001004;EURICO FIGUEIREDO PROF;JACANA;JACANA;SAO PAULO;NORTE 2;Urbana;2272030;-23.47019958;-46.58660126;5,22;1;2020-05-27;96072551;2020;2021;tratada_cmsp
100407;35100407;ALDEIA RIO BRANCO II;CANANEIA;RIO BRANCO II;CANANEIA;REGISTRO;Rural;11990000;-25.03256035;-48.04067993;;0;;0;;0;nunca_tratada_cmsp
10042;35010042;BRASILINA VALENTE;EMBU DAS ARTES;JARDIM CASTILHO;EMBU DAS ARTES;TABOAO DA SERRA;Urbana;6810000;-23.64369965;-46.80799866;5,08;1;2020-05-27;70518697;2020;2021;tratada_cmsp
10045;35010045;TERRA BRASILIS;ITUPEVA;PARQUE RESIDENCIAL PARAISO;ITUPEVA;JUNDIAI;Urbana;13295374;-23.15010071;-47.04042053;;0;;0;;0;nunca_tratada_cmsp
10054;35010054;MARIA ANTONIETA MARTINS DE ALMEIDA PROFESSORA;EMBU DAS ARTES;JARDIM PINHEIRINHO;EMBU DAS ARTES;TABOAO DA SERRA;Urbana;6835130;-23.67910004;-46.85599899;5,03;1;2020-05-27;57908674;2020;2021;tratada_cmsp
10066;35010066;SOLANO TRINDADE;EMBU DAS ARTES;JARDIM SANTA TEREZA;EMBU DAS ARTES;TABOAO DA SERRA;Urbana;6813400;-23.65213966;-46.80908966;4,98;1;2020-05-27;29748678;2020;2021;tratada_cmsp
10069;35010069;ESCOLA ESTADUAL BAIRRO BEXIGA;ILHABELA;BEXIGA;ILHABELA;CARAGUATATUBA;Urbana;11630000;-23.86418915;-45.42087173;;0;;0;;0;nunca_tratada_cmsp
10078;35010078;ELIZETE DE OLIVEIRA BERTINI;EMBU DAS ARTES;JARDIM DOM JOSE;EMBU DAS ARTES;TABOAO DA SERRA;Urbana;6823300;-23.67453003;-46.80381012;5,11;1;2020-05-27;63667650;2020;2021;tratada_cmsp
10091;35010091;PAULO CHAGAS NOGUEIRA ENGENHEIRO;EMBU DAS ARTES;PARQUE PIRAJUSSARA;EMBU DAS ARTES;TABOAO DA SERRA;Urbana;6815000;-23.65579987;-46.81480026;5,06;1;2020-05-27;92146648;2020;2021;tratada_cmsp
100948;35100948;ALDEIA RIO BRANCO;ITANHAEM;RIO BRANCO;ITANHAEM;SAO VICENTE;Rural;11740000;-24.14668083;-46.80730057;;0;;0;;0;nunca_tratada_cmsp
10121;35010121;EULALIA MALTA PROFESSORA;EMBU DAS ARTES;JARDIM ARABUTA;EMBU DAS ARTES;TABOAO DA SERRA;Urbana;6803460;-23.65378952;-46.85639191;5,25;1;2020-05-27;244538862;2020;2021;tratada_cmsp
10133;35010133;MARIA AUXILIADORA;EMBU DAS ARTES;CENTRO;EMBU DAS ARTES;TABOAO DA SERRA;Urbana;6803470;-23.65379906;-46.85079956;5,21;1;2020-05-27;148055280;2020;2021;tratada_cmsp
10145;35010145;IRIA KUNZ IRMA;EMBU DAS ARTES;JARDIM PRESIDENTE KENNEDY;EMBU DAS ARTES;TABOAO DA SERRA;Urbana;6820200;-23.66049957;-46.7969017;5,09;1;2020-05-27;128686586;2020;2021;tratada_cmsp
10157;35010157;OREDO RODRIGUES DA CRUZ;JUQUITIBA;CENTRO;JUQUITIBA;ITAPECERICA DA SERRA;Urbana;6950000;-23.92980003;-47.07180023;4,88;1;2020-05-27;154175862;2020;2021;tratada_cmsp
