codigo_escola;ano;anos_escolares;ideb;indicador_rendimento;nota_saeb_matematica;nota_saeb_lingua_portuguesa;nota_saeb_media_padronizada
35000012;2015;anos_finais;5;0.99014801;255.54;249.69;5.0871668
35000012;2017;anos_finais;5.9;1;273.97;278.32;5.8715
35000012;2019;anos_finais;;0.99673897;;;
35000012;2021;anos_finais;5.8;1;269.81;275.57;5.756333
35000012;2023;anos_finais;6;1;279.74;277.43;5.952833
35000024;2015;anos_finais;4;0.88347298;236.9;238.07;4.5828328
35000024;2017;anos_finais;;0.91511899;;;
35000024;2019;anos_finais;4.4;0.88521302;252.25;249.36;5.027
35000024;2021;anos_finais;5.2;0.995951;255.45;259.75;5.253333
35000024;2023;anos_finais;5.1;0.978213;251.04;262.57;5.226833
35000024;2015;anos_iniciais;;0.93237603;;;
35000024;2017;anos_iniciais;6.4;0.995772;232.55;221.77;6.4345841
35000024;2019;anos_iniciais;6.7;1;242.17;224.25;6.6632628
35000024;2021;anos_iniciais;5.5;1;208.31;197.01;5.521434
35000024;2023;anos_iniciais;5.9;1;222.66;204.75;5.936017
35000024;2017;todos (1-4);;0.63126999;;;
35000024;2019;todos (1-4);;0.75790697;;;
35000024;2021;todos (1-4);;0.994949;;;
35000024;2023;todos (1-4);;0.946084;;;
35000036;2015;anos_finais;4.3;0.99395102;234.74;225.04;4.3296671
35000036;2017;anos_finais;4.3;0.97942001;227.88;233.97;4.3643332
35000036;2019;anos_finais;4.8;0.94364798;251.8;253.58;5.0896668
35000036;2021;anos_finais;5.1;1;249.8;258.74;5.142333
35000036;2023;anos_finais;;0.921393;;;
35000036;2017;todos (1-4);3.4;0.89568901;239.49;249.8;3.7928081
35000036;2019;todos (1-4);;0.90919799;;;
35000036;2021;todos (1-4);;0.964193;;;
35000036;2023;todos (1-4);;0.773444;;;
35000048;2015;anos_finais;;;;;
35000048;2017;anos_finais;;;;;
35000048;2019;anos_finais;;;;;
35000048;2021;anos_finais;;;;;
35000048;2023;anos_finais;;;;;
35000048;2015;anos_iniciais;;;;;
35000048;2017;anos_iniciais;;;;;
35000048;2019;anos_iniciais;;;;;
35000048;2021;anos_iniciais;;;;;
35000048;2023;anos_iniciais;;;;;
35000048;2017;todos (1-4);;0.78731501;;;
35000048;2019;todos (1-4);;0.67812198;;;
35000048;2021;todos (1-4);;;;;
35000048;2023;todos (1-4);;0.851664;;;
35000059;2015;anos_finais;;;;;
35000059;2017;anos_finais;;;;;
35000059;2019;anos_finais;;;;;
35000059;2021;anos_finais;;;;;
35000059;2023;anos_finais;;;;;
35000059;2017;todos (1-4);;0.75370902;;;
35000059;2019;todos (1-4);;0.82673901;;;
35000059;2021;todos (1-4);;0.987869;;;
35000059;2023;todos (1-4);3.8;0.898818;257.02;265.88;4.279585
35000061;2015;anos_iniciais;6.2;0.98585403;232.1;216.37;6.3274422
